Designator,Footprint,Quantity,Value,LCSC Part #
"3V3_2_2, 3V3_2, 3v3_1_2, 3v3_1, 5V_1_2, 5V_1, 5V_2_2, 5V_2, 5V_3_2, 5V_3, 5V_4_2, 5V_4, 5V_5_2, 5V_5, BAT_1_2, BAT_1, GND1_2, GND1, GND2_2, GND2, GND3_2, GND3, GND4_2, GND4, VBUS_1_2, VBUS_1, VBUS_USB1_2, VBUS_USB1",TestPoint_Pad_D1.5mm,28,TestPoint,
"ANT1_2, ANT1",ANTC8010X110N,2,ACAG0801-2450-T,
"C1_2, C1, C10_2, C10, C13_2, C13, C17_2, C17, C2_2, C2, C23_2, C23, C24_2, C24, C4_2, C4, C9_2, C9",Capacitor_0603,18,4.7uF,
"C11_2, C11",Capacitor_0603,2,820pF,
"C12_2, C12",Capacitor_0603,2,100pF,
"C14_2, C14, C19_2, C19",Capacitor_0603,4,12pF,
"C15_2, C15",Capacitor_0603,2,1.2pF,
"C16_2, C16",Capacitor_0603,2,1pF,
"C18_2, C18, C5_2, C5, C6_2, C6",Capacitor_0603,6,1uF,
"C20_2, C20, C21_2, C21, C28_2, C28, C29_2, C29, C3_2, C3, C30_2, C30, C31_2, C31, C32_2, C32, C33_2, C33, C35_2, C35, C36_2, C36, C37_2, C37, C38_2, C38, C39_2, C39, C40_2, C40, C41_2, C41, C42_2, C42, C43_2, C43, C45_2, C45, C46_2, C46, C7_2, C7, C8_2, C8",Capacitor_0603,44,100nF,
"C22_2, C22",Capacitor_0603,2,470nF,
"C25_2, C25, C34_2, C34, C44_2, C44",Capacitor_0603,6,10uF,
"C26_2, C26, C27_2, C27",Capacitor_0603,4,10uF-lowESR,
"D1_2, D1, D10_2, D10, D11_2, D11, D12_2, D12, D13_2, D13, D14_2, D14, D15_2, D15, D16_2, D16, D17_2, D17, D18_2, D18, D19_2, D19, D2_2, D2, D20_2, D20, D21_2, D21, D22_2, D22, D23_2, D23, D24_2, D24, D25_2, D25, D26_2, D26, D27_2, D27, D28_2, D28, D29_2, D29, D3_2, D3, D30_2, D30, D31_2, D31, D32_2, D32, D33_2, D33, D34_2, D34, D35_2, D35, D36_2, D36, D37_2, D37, D38_2, D38, D39_2, D39, D4_2, D4, D40_2, D40, D41_2, D41, D42_2, D42, D43_2, D43, D44_2, D44, D45_2, D45, D46_2, D46, D47_2, D47, D48_2, D48, D5_2, D5, D6_2, D6, D7_2, D7, D8_2, D8, D9_2, D9",LED_SK6812MINI,96,LED_SK6812MINI,C5149201
"Di1_2, Di1, Di10_2, Di10, Di11_2, Di11, Di12_2, Di12, Di13_2, Di13, Di14_2, Di14, Di15_2, Di15, Di16_2, Di16, Di17_2, Di17, Di18_2, Di18, Di19_2, Di19, Di2_2, Di2, Di20_2, Di20, Di21_2, Di21, Di22_2, Di22, Di23_2, Di23, Di24_2, Di24, Di3_2, Di3, Di4_2, Di4, Di5_2, Di5, Di6_2, Di6, Di7_2, Di7, Di8_2, Di8, Di9_2, Di9",Diode_SOD-123,48,Diode,
"F1_2, F1",0603L050SLYR,2,600mA,
"IC2_2, IC2",XC9147_8_USP-6C,2,XC9148G50CER-G,
"IC3_2, IC3",QFN40P500X500X90-41N-D,2,nRF52833-QDAA-R7,
"IC4_2, IC4",SOP65P640X110-14N,2,"74AHCT125PW,118",
"IC5_2, IC5",SOP65P780X200-24N,2,MCP23018T-E_SS,
"IC6_2, IC6",XC9290A07E1RG,2,XC9291B33D1R-G,
"J1_2, J1",USB_C_Receptacle_HRO_TYPE-C-31-M-12,2,USB_C_Receptacle_USB2.0_16P,
"J2_2, J2",SolderWire-2.5sqmm_1x01_D2.4mm_OD3.6mm,2,Battery Pos,
"J3_2, J3",SolderWire-2.5sqmm_1x01_D2.4mm_OD3.6mm,2,Battery Neg,
"J4_2, J4",OLED_128x32,2,OLED_128x32,
"J6_2, J6",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04,
"J7_2, J7",F32Q1A7H111012,2,F32Q-1A7H1-11012,
"L1_2, L1",0603,2,4.7nH,
"L2_2, L2",0603,2,2.2nH,
"L3_2, L3",0603,2,1uH,
"L5_2, L5",INDC1608X80N,2,MCHK1608T1R0MKN,
"R1_2, R1, R2_2, R2",0603,4,5k1,
"R10_2, R10",0603,2,500,
"R3_2, R3",0603,2,3k,
"R4_2, R4",0603,2,1k8,
"R5_2, R5, R7_2, R7, R9_2, R9",0603,6,10k,
"R6_2, R6",RESC2012X41N,2,10m1%,
"S1_2, S1, S10_2, S10, S11_2, S11, S12_2, S12, S13_2, S13, S14_2, S14, S15_2, S15, S16_2, S16, S17_2, S17, S18_2, S18, S19_2, S19, S2_2, S2, S20_2, S20, S21_2, S21, S22_2, S22, S23_2, S23, S24_2, S24, S3_2, S3, S4_2, S4, S5_2, S5, S6_2, S6, S7_2, S7, S8_2, S8, S9_2, S9",Hotswap_Choc_V1V2_Plated_1.00u,48,Keyswitch,
"S26_2, S26",CLSA12C422,2,CL-SA-12C4-22,
"U1_2, U1",Texas_S-PDSO-N12,2,BQ27441-G1,
"U2_2, U2",VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,2,BQ24072RGT,
"U3_2, U3",SOIC-8_3.9x4.9mm_P1.27mm,2,USB6B1,
"U5_2, U5, U6_2, U6",PEC11L4015FS0015,4,PEC11L-4015F-S0015,
"Y1_2, Y1",ECS320837B2JTYTR,2,ECS-320-8-37B2-JTY-TR,
