Designator,Mid X,Mid Y,Rotation,Layer
ANT1,64.1505,-120.8664,0.0,bottom
C1,85.3815,-108.4734,0.0,bottom
C10,195.0065,-65.8734,180.0,top
C11,78.2475,-117.0564,270.0,bottom
C12,75.7075,-111.0874,0.0,bottom
C13,199.8065,-73.7734,0.0,top
C14,76.7235,-107.4044,90.0,bottom
C15,71.8975,-114.6434,90.0,bottom
C16,74.6915,-113.7544,180.0,bottom
C17,83.8355,-89.6244,270.0,bottom
C18,134.1275,-103.5944,0.0,top
C19,74.9455,-108.5474,90.0,bottom
C2,75.4535,-77.3054,180.0,bottom
C20,69.4845,-100.2924,0.0,bottom
C21,190.5285,-81.7504,0.0,bottom
C22,107.2035,-108.1534,90.0,bottom
C23,78.5015,-56.0964,180.0,bottom
C25,199.3065,-52.9734,180.0,top
C26,200.6065,-62.3734,270.0,top
C27,201.4065,-65.7734,180.0,top
C28,128.6665,-62.7004,0.0,bottom
C29,188.2425,-62.8274,0.0,bottom
C3,87.6455,-109.1824,270.0,bottom
C30,133.3655,-81.8774,0.0,bottom
C31,152.5425,-100.9274,0.0,bottom
C32,90.5665,-43.9044,0.0,bottom
C33,128.6665,-43.6504,0.0,bottom
C34,188.2295,-43.6504,0.0,bottom
C35,78.2345,-39.5864,0.0,bottom
C36,73.8025,-119.2154,180.0,bottom
C37,67.6065,-98.4734,0.0,top
C4,86.5025,-116.9294,90.0,bottom
C5,89.8175,-114.6434,180.0,bottom
C6,63.1065,-104.8234,180.0,bottom
C7,88.0265,-116.9294,270.0,bottom
C8,85.8675,-106.8964,180.0,bottom
C9,104.5365,-109.0554,180.0,bottom
D1,90.4965,-41.2234,180.0,bottom
D10,147.6465,-60.2734,180.0,bottom
D11,166.6965,-60.2734,180.0,bottom
D12,188.12775,-60.2734,180.0,bottom
D13,95.259,-79.3234,180.0,bottom
D14,114.309,-79.3234,180.0,bottom
D15,133.359,-79.3234,180.0,bottom
D16,152.409,-79.3234,180.0,bottom
D17,171.459,-79.3234,180.0,bottom
D18,190.509,-79.3234,180.0,bottom
D19,104.784,-98.3734,180.0,bottom
D2,109.5465,-41.2234,180.0,bottom
D20,133.359,-98.3734,180.0,bottom
D21,152.409,-98.3734,180.0,bottom
D22,171.459,-98.3734,180.0,bottom
D23,190.509,-98.3734,180.0,bottom
D24,116.69025,-117.4234,180.0,bottom
D3,128.5965,-41.2234,180.0,bottom
D4,147.6465,-41.2234,180.0,bottom
D5,166.6965,-41.2234,180.0,bottom
D6,188.12775,-41.2234,180.0,bottom
D7,90.4965,-60.2734,180.0,bottom
D8,109.5465,-60.2734,180.0,bottom
D9,128.5965,-60.2734,180.0,bottom
Di1,98.9965,-39.5234,90.0,bottom
Di10,196.62775,-39.5234,90.0,bottom
Di11,98.9965,-58.5734,90.0,bottom
Di12,118.0465,-58.5734,90.0,bottom
Di13,156.1465,-58.5734,90.0,bottom
Di14,175.1965,-58.5734,90.0,bottom
Di15,196.62775,-58.5734,90.0,bottom
Di16,122.809,-77.6234,90.0,bottom
Di17,141.859,-77.6234,90.0,bottom
Di18,160.909,-77.6234,90.0,bottom
Di19,199.009,-77.6234,90.0,bottom
Di2,175.1965,-39.5234,90.0,bottom
Di20,113.284,-96.6734,90.0,bottom
Di21,141.859,-96.6734,90.0,bottom
Di22,179.959,-96.6734,90.0,bottom
Di23,199.009,-96.6734,90.0,bottom
Di24,125.19025,-115.7234,90.0,bottom
Di3,137.0965,-58.5734,90.0,bottom
Di4,103.759,-77.6234,90.0,bottom
Di5,179.959,-77.6234,90.0,bottom
Di6,160.909,-96.6734,90.0,bottom
Di7,118.0465,-39.5234,90.0,bottom
Di8,137.0965,-39.5234,90.0,bottom
Di9,156.1465,-39.5234,90.0,bottom
F1,77.9825,-36.9194,180.0,bottom
IC2,199.9065,-58.5734,270.0,top
IC3,81.5715,-112.3724,0.0,bottom
IC4,85.0065,-95.0734,0.0,top
IC5,66.3095,-93.0534,90.0,bottom
IC6,199.5065,-67.8734,180.0,top
J1,71.8165,-29.5534,180.0,bottom
J5,67.8065,-90.724244,90.0,top
J6,89.7565,-115.6484,90.0,top
L1,74.6915,-115.4054,0.0,bottom
L2,72.4055,-117.5644,0.0,bottom
L3,199.867896,-72.147099,180.0,top
L4,72.1515,-120.8664,0.0,bottom
L6,198.9065,-64.8734,90.0,top
R1,69.4845,-42.2534,270.0,bottom
R10,84.5975,-105.3724,0.0,bottom
R11,81.5495,-103.9754,180.0,bottom
R12,79.2065,-96.3734,180.0,top
R2,72.9135,-42.3804,270.0,bottom
R3,85.4865,-81.1154,0.0,bottom
R4,82.0575,-85.3064,180.0,bottom
R5,79.7715,-84.0364,90.0,bottom
R6,68.7225,-87.2114,180.0,bottom
R7,99.3295,-119.0884,90.0,bottom
R8,106.3145,-111.7224,180.0,bottom
R9,100.9805,-119.0884,270.0,bottom
S1,90.4965,-36.5234,0.0,top
S10,147.6465,-55.5734,0.0,top
S11,166.6965,-55.5734,0.0,top
S12,188.12775,-55.5734,0.0,top
S13,95.259,-74.6234,0.0,top
S14,114.309,-74.6234,0.0,top
S15,133.359,-74.6234,0.0,top
S16,152.409,-74.6234,0.0,top
S17,171.459,-74.6234,0.0,top
S18,190.509,-74.6234,0.0,top
S19,104.784,-93.6734,0.0,top
S2,109.5465,-36.5234,0.0,top
S20,133.359002,-93.6734,0.0,top
S21,152.409,-93.6734,0.0,top
S22,171.459,-93.6734,0.0,top
S23,190.509,-93.6734,0.0,top
S24,116.69025,-112.7234,0.0,top
S26,201.1815,-45.9234,90.0,top
S3,128.5965,-36.5234,0.0,top
S4,147.6465,-36.5234,0.0,top
S5,166.6965,-36.5234,0.0,top
S6,188.12775,-36.5234,0.0,top
S7,90.4965,-55.5734,0.0,top
S8,109.5465,-55.5734,0.0,top
S9,128.5965,-55.5734,0.0,top
U2,81.5615,-80.3129,180.0,bottom
U3,69.7385,-78.8294,180.0,bottom
U4,104.779,-117.4234,0.0,bottom
U5,71.1065,-66.0134,0.0,top
U6,71.1065,-46.0634,0.0,top
X1,69.3575,-106.3884,0.0,bottom
